"","date","site_id","daily_mean_pm10_concentration","state","county","site_longitude","site_latitude","concurred"
"165",2018-06-24,"060670010",23,"California","Sacramento",-121.49311,38.56844,"N"
"166",2018-06-25,"060670010",16,"California","Sacramento",-121.49311,38.56844,"N"
"167",2018-06-26,"060670010",30,"California","Sacramento",-121.49311,38.56844,"N"
"168",2018-06-27,"060670010",27,"California","Sacramento",-121.49311,38.56844,"N"
"169",2018-06-28,"060670010",32,"California","Sacramento",-121.49311,38.56844,"N"
"170",2018-06-29,"060670010",27,"California","Sacramento",-121.49311,38.56844,"N"
"171",2018-06-30,"060670010",23,"California","Sacramento",-121.49311,38.56844,"N"
"172",2018-07-01,"060670010",22,"California","Sacramento",-121.49311,38.56844,"N"
"173",2018-07-02,"060670010",29,"California","Sacramento",-121.49311,38.56844,"N"
"174",2018-07-03,"060670010",41,"California","Sacramento",-121.49311,38.56844,"N"
"175",2018-07-04,"060670010",27,"California","Sacramento",-121.49311,38.56844,"N"
"176",2018-07-05,"060670010",22,"California","Sacramento",-121.49311,38.56844,"N"
"177",2018-07-06,"060670010",23,"California","Sacramento",-121.49311,38.56844,"N"
"178",2018-07-07,"060670010",18,"California","Sacramento",-121.49311,38.56844,"N"
"179",2018-07-08,"060670010",17,"California","Sacramento",-121.49311,38.56844,"N"
"180",2018-07-09,"060670010",23,"California","Sacramento",-121.49311,38.56844,"N"
"181",2018-07-10,"060670010",23,"California","Sacramento",-121.49311,38.56844,"N"
"182",2018-07-18,"060670010",24,"California","Sacramento",-121.49311,38.56844,"N"
"183",2018-07-19,"060670010",22,"California","Sacramento",-121.49311,38.56844,"N"
"184",2018-07-20,"060670010",27,"California","Sacramento",-121.49311,38.56844,"N"
"185",2018-07-21,"060670010",19,"California","Sacramento",-121.49311,38.56844,"N"
"186",2018-07-22,"060670010",18,"California","Sacramento",-121.49311,38.56844,"N"
"187",2018-07-23,"060670010",20,"California","Sacramento",-121.49311,38.56844,"N"
"188",2018-07-24,"060670010",25,"California","Sacramento",-121.49311,38.56844,"N"
"189",2018-07-25,"060670010",28,"California","Sacramento",-121.49311,38.56844,"N"
"190",2018-07-26,"060670010",26,"California","Sacramento",-121.49311,38.56844,"N"
"191",2018-07-27,"060670010",24,"California","Sacramento",-121.49311,38.56844,"N"
"192",2018-07-28,"060670010",25,"California","Sacramento",-121.49311,38.56844,"N"
"193",2018-07-29,"060670010",20,"California","Sacramento",-121.49311,38.56844,"N"
"194",2018-07-30,"060670010",29,"California","Sacramento",-121.49311,38.56844,"N"
"195",2018-07-31,"060670010",32,"California","Sacramento",-121.49311,38.56844,"N"
"196",2018-08-01,"060670010",31,"California","Sacramento",-121.49311,38.56844,"N"
"197",2018-08-02,"060670010",32,"California","Sacramento",-121.49311,38.56844,"N"
"198",2018-08-03,"060670010",41,"California","Sacramento",-121.49311,38.56844,"N"
"199",2018-08-04,"060670010",48,"California","Sacramento",-121.49311,38.56844,"N"
"200",2018-08-05,"060670010",29,"California","Sacramento",-121.49311,38.56844,"N"
"201",2018-08-06,"060670010",44,"California","Sacramento",-121.49311,38.56844,"N"
"202",2018-08-07,"060670010",33,"California","Sacramento",-121.49311,38.56844,"N"
"203",2018-08-08,"060670010",47,"California","Sacramento",-121.49311,38.56844,"N"
"204",2018-08-09,"060670010",51,"California","Sacramento",-121.49311,38.56844,"N"
"205",2018-08-10,"060670010",32,"California","Sacramento",-121.49311,38.56844,"N"
"206",2018-08-11,"060670010",20,"California","Sacramento",-121.49311,38.56844,"N"
"207",2018-08-12,"060670010",24,"California","Sacramento",-121.49311,38.56844,"N"
"208",2018-08-13,"060670010",35,"California","Sacramento",-121.49311,38.56844,"N"
"209",2018-08-14,"060670010",23,"California","Sacramento",-121.49311,38.56844,"N"
"210",2018-08-15,"060670010",25,"California","Sacramento",-121.49311,38.56844,"N"
"211",2018-08-16,"060670010",29,"California","Sacramento",-121.49311,38.56844,"N"
"212",2018-08-17,"060670010",24,"California","Sacramento",-121.49311,38.56844,"N"
"213",2018-08-18,"060670010",27,"California","Sacramento",-121.49311,38.56844,"N"
"214",2018-08-19,"060670010",26,"California","Sacramento",-121.49311,38.56844,"N"
"215",2018-08-20,"060670010",53,"California","Sacramento",-121.49311,38.56844,"N"
"216",2018-08-21,"060670010",22,"California","Sacramento",-121.49311,38.56844,"N"
"217",2018-08-22,"060670010",32,"California","Sacramento",-121.49311,38.56844,"N"
"218",2018-08-23,"060670010",36,"California","Sacramento",-121.49311,38.56844,"N"
"219",2018-08-24,"060670010",30,"California","Sacramento",-121.49311,38.56844,"N"
"220",2018-08-25,"060670010",32,"California","Sacramento",-121.49311,38.56844,"N"
"221",2018-08-26,"060670010",19,"California","Sacramento",-121.49311,38.56844,"N"
