"","date","site_id","daily_max_8_hour_ozone_concentration","state","county","site_longitude","site_latitude","concurred"
"135",2016-08-17,"245100054",0.047,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"136",2016-08-18,"245100054",0.052,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"137",2016-08-19,"245100054",0.058,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"138",2016-08-20,"245100054",0.062,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"139",2016-08-21,"245100054",0.032,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"140",2016-08-22,"245100054",0.034,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"141",2016-08-23,"245100054",0.046,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"142",2016-08-24,"245100054",0.054,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"143",2016-08-25,"245100054",0.063,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"144",2016-08-26,"245100054",0.05,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"145",2016-08-27,"245100054",0.065,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"146",2016-08-28,"245100054",0.041,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"147",2016-08-29,"245100054",0.058,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"148",2016-08-30,"245100054",0.052,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"149",2016-08-31,"245100054",0.065,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"150",2016-09-01,"245100054",0.042,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"151",2016-09-02,"245100054",0.034,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"152",2016-09-03,"245100054",0.041,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"153",2016-09-04,"245100054",0.037,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"154",2016-09-05,"245100054",0.043,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"155",2016-09-06,"245100054",0.062,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"156",2016-09-07,"245100054",0.066,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"157",2016-09-08,"245100054",0.058,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"158",2016-09-09,"245100054",0.056,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"159",2016-09-10,"245100054",0.055,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"160",2016-09-11,"245100054",0.038,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"161",2016-09-12,"245100054",0.044,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"162",2016-09-13,"245100054",0.042,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"163",2016-09-14,"245100054",0.067,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"164",2016-09-15,"245100054",0.037,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"165",2016-09-16,"245100054",0.035,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"166",2016-09-17,"245100054",0.04,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"167",2016-09-18,"245100054",0.031,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"168",2016-09-19,"245100054",0.022,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"169",2016-09-20,"245100054",0.03,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"170",2016-09-21,"245100054",0.057,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"171",2016-09-22,"245100054",0.065,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"172",2016-09-23,"245100054",0.076,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"173",2016-09-24,"245100054",0.021,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"174",2016-09-25,"245100054",0.035,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"175",2016-09-26,"245100054",0.032,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"176",2016-09-27,"245100054",0.035,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"177",2016-09-28,"245100054",0.026,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"178",2016-09-29,"245100054",0.025,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"179",2016-09-30,"245100054",0.022,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"180",2016-10-01,"245100054",0.014,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"181",2016-10-02,"245100054",0.026,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
