"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","airnowval","aqsval"
"03/02/2020","AQS","410392013","1","7","ug/m3 SC","6","Oakridge - (OAK)","1","100.0000","81102","PM10 Total 0-10um STP","21660","Eugene, OR","41","Oregon","039","Lane","43.744352","-122.480487",".","7"
"03/03/2020","AQS","410392013","1","10","ug/m3 SC","9","Oakridge - (OAK)","1","100.0000","81102","PM10 Total 0-10um STP","21660","Eugene, OR","41","Oregon","039","Lane","43.744352","-122.480487",".","10"
"03/04/2020","AQS","410392013","1","12","ug/m3 SC","11","Oakridge - (OAK)","1","100.0000","81102","PM10 Total 0-10um STP","21660","Eugene, OR","41","Oregon","039","Lane","43.744352","-122.480487",".","12"
"03/05/2020","AQS","410392013","1","18","ug/m3 SC","17","Oakridge - (OAK)","1","100.0000","81102","PM10 Total 0-10um STP","21660","Eugene, OR","41","Oregon","039","Lane","43.744352","-122.480487",".","18"
"03/06/2020","AQS","410392013","1","11","ug/m3 SC","10","Oakridge - (OAK)","1","100.0000","81102","PM10 Total 0-10um STP","21660","Eugene, OR","41","Oregon","039","Lane","43.744352","-122.480487",".","11"
"03/07/2020","AQS","410392013","1","4","ug/m3 SC","4","Oakridge - (OAK)","1","100.0000","81102","PM10 Total 0-10um STP","21660","Eugene, OR","41","Oregon","039","Lane","43.744352","-122.480487",".","4"
"03/08/2020","AQS","410392013","1","6","ug/m3 SC","6","Oakridge - (OAK)","1","100.0000","81102","PM10 Total 0-10um STP","21660","Eugene, OR","41","Oregon","039","Lane","43.744352","-122.480487",".","6"
"03/09/2020","AQS","410392013","1","13","ug/m3 SC","12","Oakridge - (OAK)","1","100.0000","81102","PM10 Total 0-10um STP","21660","Eugene, OR","41","Oregon","039","Lane","43.744352","-122.480487",".","13"
"03/10/2020","AQS","410392013","1","10","ug/m3 SC","9","Oakridge - (OAK)","1","100.0000","81102","PM10 Total 0-10um STP","21660","Eugene, OR","41","Oregon","039","Lane","43.744352","-122.480487",".","10"
"03/11/2020","AQS","410392013","1","19","ug/m3 SC","18","Oakridge - (OAK)","1","100.0000","81102","PM10 Total 0-10um STP","21660","Eugene, OR","41","Oregon","039","Lane","43.744352","-122.480487",".","19"
"03/12/2020","AQS","410392013","1","20","ug/m3 SC","19","Oakridge - (OAK)","1","100.0000","81102","PM10 Total 0-10um STP","21660","Eugene, OR","41","Oregon","039","Lane","43.744352","-122.480487",".","20"
"03/13/2020","AQS","410392013","1","14","ug/m3 SC","13","Oakridge - (OAK)","1","100.0000","81102","PM10 Total 0-10um STP","21660","Eugene, OR","41","Oregon","039","Lane","43.744352","-122.480487",".","14"
"03/14/2020","AQS","410392013","1","5","ug/m3 SC","5","Oakridge - (OAK)","1","100.0000","81102","PM10 Total 0-10um STP","21660","Eugene, OR","41","Oregon","039","Lane","43.744352","-122.480487",".","5"
"03/15/2020","AQS","410392013","1","11","ug/m3 SC","10","Oakridge - (OAK)","1","100.0000","81102","PM10 Total 0-10um STP","21660","Eugene, OR","41","Oregon","039","Lane","43.744352","-122.480487",".","11"
"03/16/2020","AQS","410392013","1","14","ug/m3 SC","13","Oakridge - (OAK)","1","100.0000","81102","PM10 Total 0-10um STP","21660","Eugene, OR","41","Oregon","039","Lane","43.744352","-122.480487",".","14"
"03/17/2020","AQS","410392013","1","13","ug/m3 SC","12","Oakridge - (OAK)","1","100.0000","81102","PM10 Total 0-10um STP","21660","Eugene, OR","41","Oregon","039","Lane","43.744352","-122.480487",".","13"
"03/18/2020","AQS","410392013","1","14","ug/m3 SC","13","Oakridge - (OAK)","1","100.0000","81102","PM10 Total 0-10um STP","21660","Eugene, OR","41","Oregon","039","Lane","43.744352","-122.480487",".","14"
"03/19/2020","AQS","410392013","1","18","ug/m3 SC","17","Oakridge - (OAK)","1","100.0000","81102","PM10 Total 0-10um STP","21660","Eugene, OR","41","Oregon","039","Lane","43.744352","-122.480487",".","18"
"03/20/2020","AQS","410392013","1","12","ug/m3 SC","11","Oakridge - (OAK)","1","100.0000","81102","PM10 Total 0-10um STP","21660","Eugene, OR","41","Oregon","039","Lane","43.744352","-122.480487",".","12"
"03/21/2020","AQS","410392013","1","12","ug/m3 SC","11","Oakridge - (OAK)","1","100.0000","81102","PM10 Total 0-10um STP","21660","Eugene, OR","41","Oregon","039","Lane","43.744352","-122.480487",".","12"
"03/22/2020","AQS","410392013","1","18","ug/m3 SC","17","Oakridge - (OAK)","1","100.0000","81102","PM10 Total 0-10um STP","21660","Eugene, OR","41","Oregon","039","Lane","43.744352","-122.480487",".","18"
"03/23/2020","AQS","410392013","1","6","ug/m3 SC","6","Oakridge - (OAK)","1","100.0000","81102","PM10 Total 0-10um STP","21660","Eugene, OR","41","Oregon","039","Lane","43.744352","-122.480487",".","6"
"03/24/2020","AQS","410392013","1","4","ug/m3 SC","4","Oakridge - (OAK)","1","100.0000","81102","PM10 Total 0-10um STP","21660","Eugene, OR","41","Oregon","039","Lane","43.744352","-122.480487",".","4"
"03/25/2020","AQS","410392013","1","7","ug/m3 SC","6","Oakridge - (OAK)","1","100.0000","81102","PM10 Total 0-10um STP","21660","Eugene, OR","41","Oregon","039","Lane","43.744352","-122.480487",".","7"
"03/26/2020","AQS","410392013","1","7","ug/m3 SC","6","Oakridge - (OAK)","1","100.0000","81102","PM10 Total 0-10um STP","21660","Eugene, OR","41","Oregon","039","Lane","43.744352","-122.480487",".","7"
